Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
77,Georgia,SEC,4,4,-27.488,2.372,65,0.500,0.508,-0.008,-0.049,171.560,199.048,187,209,109,105,26.675,41
125,Texas State,Sun Belt,1,6,-169.399,-171.564,125,0.143,0.101,0.042,0.263,139.785,309.184,130,303,93,98,-34.626,95
45,Wyoming,Mountain West,6,2,34.808,40.145,42,0.750,0.612,0.138,0.862,280.808,246.000,278,246,99,100,5.713,56
52,Wake Forest,ACC,5,3,15.466,3.681,64,0.625,0.516,0.109,0.680,150.980,135.514,154,145,102,107,-11.567,77
33,Texas A&M,SEC,6,2,60.253,107.750,15,0.750,0.799,-0.049,-0.308,225.210,164.957,268,193,119,117,56.353,22
70,South Carolina,SEC,5,4,-12.901,-23.616,74,0.556,0.407,0.148,0.925,151.754,164.655,173,191,114,116,-7.902,70
54,Texas,Big 12,5,4,14.971,5.559,62,0.556,0.517,0.039,0.241,252.273,237.302,333,299,132,126,-6.223,68
69,Georgia Tech,ACC,4,4,-12.475,15.991,58,0.500,0.538,-0.038,-0.234,238.636,251.111,210,226,88,90,30.462,35
75,Arkansas,SEC,5,3,-25.000,61.777,34,0.625,0.670,-0.045,-0.279,226.000,251.000,226,251,100,100,67.627,16
74,South Alabama,Sun Belt,3,5,-22.917,-68.842,100,0.375,0.296,0.079,0.492,178.125,201.042,171,193,96,96,-42.177,102
24,Wisconsin,Big Ten,7,2,78.666,139.046,11,0.778,0.918,-0.141,-0.876,189.381,110.714,214,124,113,112,71.989,12
22,LSU,SEC,4,3,88.882,145.384,9,0.571,0.935,-0.364,-2.270,203.488,114.607,175,102,86,89,72.817,10
71,Mississippi State,SEC,3,5,-13.115,11.197,61,0.375,0.530,-0.155,-0.969,209.434,222.549,222,227,106,102,26.992,39
14,Louisiana Tech,Conference USA,6,3,112.470,14.495,59,0.667,0.533,0.133,0.832,359.259,246.789,388,269,108,109,-81.818,126
104,Boston College,ACC,3,5,-83.333,-30.234,79,0.375,0.363,0.012,0.074,116.667,200.000,133,226,114,113,3.076,59
51,Notre Dame,FBS Independents,3,6,23.144,24.712,52,0.333,0.568,-0.234,-1.462,235.965,212.821,269,249,114,117,0.397,61
80,Vanderbilt,SEC,3,5,-32.474,-13.818,72,0.375,0.446,-0.071,-0.440,150.000,182.474,147,177,98,97,21.419,44
61,UCLA,Pac-12,3,6,2.326,67.542,32,0.333,0.715,-0.381,-2.377,183.721,181.395,237,234,129,129,64.318,19
98,Tulane,American Athletic,2,6,-67.626,-109.551,110,0.250,0.174,0.076,0.475,151.818,219.444,167,237,110,108,-34.211,94
65,Northern Illinois,Mid-American,3,5,-4.770,-33.885,80,0.375,0.406,-0.031,-0.195,229.464,234.234,257,260,112,111,-21.925,87
44,Ohio,Mid-American,6,3,37.109,-34.499,81,0.667,0.391,0.276,1.722,209.836,172.727,256,209,122,121,-72.450,123
109,Oregon State,Pac-12,1,7,-107.207,12.301,60,0.125,0.538,-0.413,-2.573,159.459,266.667,177,280,111,105,110.825,1
40,North Carolina,ACC,6,2,47.563,86.380,21,0.750,0.725,0.025,0.155,249.505,201.942,252,208,101,103,33.261,33
9,Auburn,SEC,7,2,152.435,145.809,8,0.778,0.876,-0.098,-0.612,284.545,132.110,313,144,110,109,41.554,26
97,Georgia State,Sun Belt,1,7,-63.995,-81.764,105,0.125,0.250,-0.125,-0.781,138.835,202.830,143,215,103,106,-21.666,86
59,Northwestern,Big Ten,4,4,4.404,73.801,26,0.500,0.730,-0.230,-1.437,184.404,180.000,201,189,109,105,80.505,6
79,Kentucky,SEC,5,4,-31.207,-27.023,78,0.556,0.426,0.129,0.806,205.000,236.207,246,274,120,116,4.089,58
55,Ole Miss,SEC,3,5,14.521,90.712,18,0.375,0.695,-0.320,-1.995,268.224,253.704,287,274,107,108,76.907,8
26,App State,Sun Belt,7,2,77.556,30.855,47,0.778,0.610,0.168,1.047,212.069,134.513,246,152,116,113,-54.770,112
16,Oklahoma,Big 12,7,2,105.546,62.604,33,0.778,0.646,0.132,0.824,336.441,230.894,397,284,118,123,-4.608,65
