Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,ORtg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
52,Mississippi State,SEC,7,5,36.204,50.177,36,0.583,0.606,-0.023,0.191,227.976,191.7721519,383,303,168,158,37.866,1.386
53,Syracuse,Big East,7,5,33.377,24.363,54,0.583,0.596,-0.012,0.303,232.143,198.7654321,390,322,168,162,19.943,0.730
54,Toledo,Mid-American,8,4,31.069,28.229,50,0.667,0.586,0.080,1.276,238.372,207.3033708,410,369,172,178,24.824,0.909
55,Texas Tech,Big 12,7,5,29.949,31.008,48,0.583,0.569,0.015,0.588,286.471,256.5217391,487,413,170,161,28.287,1.035
56,Western Kentucky,Sun Belt,6,6,27.449,22.291,56,0.500,0.575,-0.075,-0.349,242.384,214.9350649,366,331,151,154,22.187,0.812
57,Michigan State,Big Ten,7,6,26.751,35.141,45,0.538,0.618,-0.079,-0.400,152.941,126.1904762,260,212,170,168,35.890,1.314
58,Nevada,Mountain West,6,6,25.286,8.802,63,0.500,0.556,-0.056,-0.153,294.611,269.3251534,492,439,167,163,9.510,0.348
59,Ole Miss,SEC,6,6,24.550,46.848,37,0.500,0.566,-0.066,-0.260,243.452,218.902439,409,359,168,164,52.136,1.908
60,NC State,ACC,6,6,19.492,17.881,59,0.500,0.569,-0.069,-0.295,184.343,164.8514851,365,333,198,202,25.064,0.917
61,Utah,Pac-12,4,7,17.286,19.240,57,0.364,0.554,-0.190,-1.565,207.792,190.5063291,320,301,154,158,30.410,1.113
62,Tennessee,SEC,4,7,14.997,28.655,49,0.364,0.538,-0.174,-1.391,256.805,241.8079096,434,428,169,177,52.204,1.911
63,Arizona,Pac-12,7,5,11.649,18.688,58,0.583,0.528,0.055,1.014,265.241,253.5911602,496,459,187,181,43.827,1.604
64,UTSA,Western Athletic,4,4,11.602,13.052,61,0.500,0.528,-0.028,0.145,269.065,257.4626866,374,345,139,134,30.735,1.125
65,Rice,Conference USA,7,6,11.336,3.236,69,0.538,0.530,0.009,0.523,242.105,230.7692308,414,390,171,169,7.800,0.285
66,Virginia Tech,ACC,6,6,10.140,14.790,60,0.500,0.538,-0.038,0.033,170.681,160.5405405,326,297,191,185,39.851,1.459
67,Ball State,Mid-American,9,4,6.463,5.790,68,0.692,0.516,0.177,2.289,263.253,256.7901235,437,416,166,162,24.478,0.896
68,Iowa State,Big 12,5,7,5.581,8.299,64,0.417,0.519,-0.103,-0.645,182.286,176.7045455,319,311,175,176,40.626,1.487
69,West Virginia,Big 12,6,6,5.348,6.216,66,0.500,0.512,-0.012,0.311,289.831,284.4827586,513,495,177,174,31.755,1.162
70,Troy,Sun Belt,5,7,4.671,0.783,70,0.417,0.513,-0.096,-0.578,225.153,220.4819277,367,366,163,166,4.577,0.168
71,Miami,ACC,6,5,3.986,5.990,67,0.545,0.511,0.035,0.799,237.107,233.1210191,377,366,159,157,41.061,1.503
72,East Carolina,Conference USA,7,5,-8.118,-4.526,74,0.583,0.481,0.103,1.509,260.510,268.627451,409,411,157,153,15.233,0.558
73,Navy,FBS Independents,7,5,-8.216,-5.849,77,0.583,0.478,0.105,1.534,233.813,242.0289855,325,334,139,138,19.448,0.712
74,Washington,Pac-12,6,6,-9.738,-15.805,84,0.500,0.467,0.033,0.782,178.286,188.0239521,312,314,175,167,44.342,1.623
75,UConn,Big East,5,7,-10.248,-4.394,73,0.417,0.454,-0.037,0.044,133.125,143.373494,213,238,160,166,11.714,0.429
76,Air Force,Mountain West,5,7,-10.595,-1.669,71,0.417,0.472,-0.056,-0.151,234.211,244.8051948,356,377,152,154,4.304,0.158
77,Purdue,Big Ten,5,7,-13.575,-15.090,83,0.417,0.461,-0.044,-0.032,210.734,224.3093923,373,406,177,181,30.370,1.112
78,Western Michigan,Mid-American,3,8,-14.378,-5.560,76,0.273,0.461,-0.188,-1.540,221.384,235.7615894,352,356,159,151,10.564,0.387
79,Missouri,SEC,4,7,-16.491,-47.016,94,0.364,0.446,-0.082,-0.430,181.765,198.255814,309,341,170,172,77.893,2.851
80,Marshall,Conference USA,4,7,-17.909,-7.709,78,0.364,0.464,-0.100,-0.619,301.227,319.1358025,491,517,163,162,11.760,0.430
81,Minnesota,Big Ten,5,7,-19.658,-11.611,81,0.417,0.434,-0.018,0.249,176.074,195.7317073,287,321,163,164,16.137,0.591
82,Houston,Conference USA,5,7,-19.690,-5.282,75,0.417,0.445,-0.028,0.138,212.568,232.2580645,389,432,183,186,7.329,0.268
83,Iowa,Big Ten,3,8,-26.741,-27.073,87,0.273,0.403,-0.131,-0.938,157.823,184.5637584,232,275,147,149,27.661,1.012
84,Middle Tennessee,Sun Belt,8,3,-26.762,-8.031,79,0.727,0.428,0.299,3.571,218.493,245.2554745,319,336,146,137,8.199,0.300
85,Central Michigan,Mid-American,6,6,-29.172,-9.537,80,0.500,0.432,0.068,1.144,253.378,282.5503356,375,421,148,149,8.932,0.327
86,Indiana,Big Ten,3,8,-38.020,-29.425,89,0.273,0.401,-0.128,-0.912,218.343,256.3636364,369,423,169,165,21.144,0.774
