Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
83,Air Force,Mountain West,3,8,0.101,0.063,83,0.273,0.500205423,-0.227,-1.614,305.983,305.882,358,364,117,119,18.715,0.626
84,Troy,Sun Belt,7,6,-1.238,-0.856,84,0.538,0.496014621,0.042,0.862,193.529,194.767,329,335,170,172,20.676,0.691
85,Florida International,Conference USA,6,6,-4.576,-1.208,85,0.500,0.487334642,0.013,0.589,223.494,228.070,371,390,166,171,7.891,0.264
86,Central Michigan,Mid-American,6,6,-8.904,-3.581,88,0.500,0.472893794,0.027,0.721,200.685,209.589,293,306,146,146,12.027,0.402
87,Baylor,Big 12,4,7,-10.751,-14.961,97,0.364,0.474951257,-0.111,-0.548,262.676,273.427,373,391,142,143,41.618,1.392
88,Temple,American Athletic,4,7,-15.236,-18.132,100,0.364,0.465128854,-0.101,-0.458,265.079,280.315,334,356,126,127,35.590,1.190
89,Arkansas State,Sun Belt,6,6,-16.840,1.182,79,0.500,0.450969975,0.049,0.922,205.660,222.500,327,356,159,160,-2.100,-0.070
90,Florida,SEC,3,8,-17.121,-38.231,107,0.273,0.447902544,-0.175,-1.134,196.212,213.333,259,288,132,135,66.776,2.233
91,Maryland,Big Ten,3,8,-17.735,-19.204,102,0.273,0.44674107,-0.174,-1.123,198.592,216.327,282,318,142,147,32.381,1.083
92,Delaware,Conference USA,6,6,-18.726,-3.253,87,0.500,0.45434702,0.046,0.891,246.405,265.132,377,403,153,152,5.195,0.174
93,California,ACC,6,6,-19.032,-12.373,94,0.500,0.447850445,0.052,0.951,217.881,236.913,329,353,151,149,19.441,0.650
94,Missouri State,Conference USA,6,6,-25.523,-12.454,95,0.500,0.431978965,0.068,1.096,220.530,246.053,333,374,151,152,14.593,0.488
95,Rutgers,Big Ten,4,7,-32.584,-69.992,116,0.364,0.429995919,-0.066,-0.136,273.016,305.600,344,382,126,125,64.236,2.148
96,Louisiana,Sun Belt,5,7,-32.916,-9.713,92,0.417,0.415085223,0.002,0.487,223.841,256.757,338,380,151,148,8.825,0.295
97,Bowling Green,Mid-American,3,8,-34.096,-13.639,96,0.273,0.388185709,-0.115,-0.586,170.833,204.930,246,291,144,142,11.962,0.400
98,Kentucky,SEC,4,7,-37.344,-69.945,115,0.364,0.39257174,-0.029,0.207,195.745,233.088,276,317,141,136,56.012,1.873
99,Wyoming,Mountain West,3,8,-38.571,-30.855,105,0.273,0.349874612,-0.077,-0.235,137.143,175.714,192,246,140,140,23.922,0.800
100,Eastern Michigan,Mid-American,4,7,-41.645,-4.891,90,0.364,0.392855436,-0.029,0.205,218.939,260.584,289,357,132,137,3.512,0.117
