Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
67,Jacksonville State,Conference USA,8,5,22.223,-2.135,87.000,0.615,0.560753079,0.055,0.965,238.788,216.564,394,353,165,163,-2.962,-0.096
68,Washington State,Pac-12,6,6,19.061,37.984,53.000,0.500,0.562938686,-0.063,-0.109,197.973,178.912,293,263,148,147,61.432,1.993
69,Utah State,Mountain West,5,7,17.470,16.519,62.000,0.417,0.546659884,-0.130,-0.721,242.169,224.699,402,373,166,166,29.150,0.946
70,Southern Miss,Sun Belt,6,6,13.893,0.111,82.000,0.500,0.538468143,-0.038,0.115,232.298,218.405,374,356,161,163,0.247,0.008
71,Miami (OH),Mid-American,6,7,11.943,5.764,75.000,0.462,0.537567018,-0.076,-0.228,204.348,192.405,329,304,161,158,14.878,0.483
72,Arizona State,Big 12,7,4,10.959,18.249,60.000,0.636,0.535162446,0.101,1.390,200.000,189.041,296,276,148,146,51.336,1.665
73,South Carolina,SEC,3,8,10.482,17.295,61.000,0.273,0.534100489,-0.261,-1.921,197.101,186.620,272,265,138,142,50.869,1.650
74,Kansas,Big 12,4,7,10.265,19.181,58.000,0.364,0.525625782,-0.162,-1.014,255.303,245.038,337,321,132,131,57.608,1.869
75,UCF,Big 12,4,7,9.451,10.785,67.000,0.364,0.528528757,-0.165,-1.040,211.594,202.143,292,283,138,140,35.178,1.141
76,Kennesaw State,Conference USA,9,4,8.802,7.785,70.000,0.692,0.525344061,0.167,1.991,221.302,212.500,374,357,169,168,27.266,0.884
77,Marshall,Sun Belt,4,7,8.657,5.927,73.000,0.364,0.52252635,-0.159,-0.985,244.371,235.714,369,363,151,154,21.107,0.685
78,Mississippi State,SEC,4,7,4.303,6.911,71.000,0.364,0.511268049,-0.148,-0.882,240.789,236.486,366,350,152,148,49.511,1.606
79,Buffalo,Mid-American,4,7,3.797,0.102,83.000,0.364,0.513155344,-0.150,-0.900,182.278,178.481,288,282,158,158,0.828,0.027
80,Arkansas,SEC,1,10,2.997,5.909,74.000,0.091,0.50624353,-0.415,-3.327,301.527,298.529,395,406,131,136,60.777,1.971
81,Minnesota,Big Ten,7,5,2.487,3.627,77.000,0.583,0.506846251,0.076,1.165,228.244,225.758,299,298,131,132,44.971,1.459
82,Liberty,Conference USA,3,8,0.459,0.276,81.000,0.273,0.501234603,-0.229,-1.621,232.576,232.117,307,318,132,137,18.545,0.602
83,Air Force,Mountain West,3,8,0.101,0.061,84.000,0.273,0.500205423,-0.227,-1.612,305.983,305.882,358,364,117,119,18.715,0.607
84,Troy,Sun Belt,7,6,-1.238,-0.830,85.000,0.538,0.496014621,0.042,0.854,193.529,194.767,329,335,170,172,20.676,0.671
85,Florida International,Conference USA,6,6,-4.576,-1.171,86.000,0.500,0.487334642,0.013,0.582,223.494,228.070,371,390,166,171,7.891,0.256
86,Central Michigan,Mid-American,6,6,-8.904,-3.899,89.000,0.500,0.472893794,0.027,0.714,200.685,209.589,293,306,146,146,13.500,0.438
87,Baylor,Big 12,4,7,-10.751,-14.623,97.000,0.364,0.474951257,-0.111,-0.551,262.676,273.427,373,391,142,143,41.933,1.360
88,Temple,American Athletic,4,7,-15.236,-17.589,101.000,0.364,0.465128854,-0.101,-0.461,265.079,280.315,334,356,126,127,35.590,1.154
89,Arkansas State,Sun Belt,6,6,-16.840,1.297,78.000,0.500,0.450969975,0.049,0.914,205.660,222.500,327,356,159,160,-2.374,-0.077
90,Florida,SEC,3,8,-17.121,-38.925,108.000,0.273,0.447902544,-0.175,-1.134,196.212,213.333,259,288,132,135,70.089,2.273
91,Maryland,Big Ten,3,8,-17.735,-19.924,102.000,0.273,0.44674107,-0.174,-1.123,198.592,216.327,282,318,142,147,34.635,1.123
92,Delaware,Conference USA,6,6,-18.726,-3.299,88.000,0.500,0.45434702,0.046,0.883,246.405,265.132,377,403,153,152,5.432,0.176
93,California,ACC,6,6,-19.032,-12.021,93.000,0.500,0.447850445,0.052,0.942,217.881,236.913,329,353,151,149,19.473,0.632
94,Missouri State,Conference USA,6,6,-25.523,-13.353,96.000,0.500,0.431978965,0.068,1.087,220.530,246.053,333,374,151,152,16.129,0.523
95,Rutgers,Big Ten,4,7,-32.584,-72.182,117.000,0.364,0.429995919,-0.066,-0.140,273.016,305.600,344,382,126,125,68.293,2.215
96,Louisiana,Sun Belt,5,7,-32.916,-9.422,92.000,0.417,0.415085223,0.002,0.480,223.841,256.757,338,380,151,148,8.825,0.286
97,Bowling Green,Mid-American,3,8,-34.096,-13.230,95.000,0.273,0.388185709,-0.115,-0.589,170.833,204.930,246,291,144,142,11.962,0.388
98,Kentucky,SEC,4,7,-37.344,-74.179,118.000,0.364,0.39257174,-0.029,0.202,195.745,233.088,276,317,141,136,61.238,1.986
99,App State,Sun Belt,4,7,-38.403,-17.377,100.000,0.364,0.395122976,-0.031,0.178,206.803,245.205,304,358,147,146,13.950,0.453
100,Wyoming,Mountain West,3,8,-38.571,-29.599,105.000,0.273,0.349874612,-0.077,-0.239,137.143,175.714,192,246,140,140,23.657,0.767
101,Eastern Michigan,Mid-American,4,7,-41.645,-4.744,90.000,0.364,0.392855436,-0.029,0.199,218.939,260.584,289,357,132,137,3.512,0.114
102,South Alabama,Sun Belt,3,8,-44.001,-15.687,98.000,0.273,0.392485531,-0.120,-0.628,230.435,274.436,318,365,138,133,10.991,0.357
103,Akron,Mid-American,4,7,-44.189,0.602,79.000,0.364,0.36103282,0.003,0.490,172.258,216.447,267,329,155,152,-0.420,-0.014
104,Michigan State,Big Ten,3,8,-45.132,-80.815,119.000,0.273,0.384012284,-0.111,-0.550,216.912,262.044,295,359,136,137,55.203,1.791
105,North Carolina,ACC,3,8,-45.358,-20.093,104.000,0.273,0.362520096,-0.090,-0.354,179.070,224.427,231,294,129,131,13.657,0.443
106,New Mexico State,Conference USA,3,8,-47.059,-13.010,94.000,0.273,0.351323705,-0.079,-0.252,169.281,216.340,259,331,153,153,8.523,0.276
107,Tulsa,American Athletic,3,8,-50.195,-16.874,99.000,0.273,0.356977657,-0.084,-0.304,189.116,239.310,278,347,147,145,10.363,0.336
108,Florida Atlantic,American Athletic,3,8,-59.062,-38.613,107.000,0.273,0.368586625,-0.096,-0.410,245.833,304.895,354,436,144,143,20.155,0.654
109,Middle Tennessee,Conference USA,3,8,-60.528,9.048,68.000,0.273,0.33144169,-0.059,-0.070,186.806,247.333,269,371,144,150,-4.608,-0.149
110,Boston College,ACC,1,10,-61.972,-68.091,114.000,0.091,0.346661949,-0.256,-1.870,214.789,276.761,305,393,142,142,33.873,1.099
111,Northern Illinois,Mid-American,2,9,-66.564,-30.619,106.000,0.182,0.288416688,-0.107,-0.508,152.985,219.549,205,292,134,133,14.181,0.460
112,UTEP,Conference USA,1,10,-69.420,-6.801,91.000,0.091,0.301599645,-0.211,-1.458,173.913,243.333,280,365,161,150,3.020,0.098
113,Georgia Southern,Sun Belt,5,6,-70.137,-61.826,111.000,0.455,0.341534136,0.113,1.498,233.566,303.704,334,410,143,135,27.176,0.882
114,Colorado,Big 12,3,9,-74.194,-96.740,120.000,0.250,0.290747861,-0.041,0.094,173.103,247.297,251,366,145,148,40.197,1.304
115,West Virginia,Big 12,3,8,-76.640,-144.522,127.000,0.273,0.278312171,-0.006,0.415,165.190,241.830,261,370,158,153,58.134,1.886
116,Wisconsin,Big Ten,4,8,-79.144,-233.602,133.000,0.333,0.224366832,0.109,1.461,123.200,202.344,154,259,125,128,90.994,2.952
117,Stanford,ACC,4,8,-86.232,-146.430,128.000,0.333,0.257782993,0.076,1.156,163.768,250.000,226,350,138,140,52.350,1.698
118,Nevada,Mountain West,2,9,-86.861,-63.865,113.000,0.182,0.246366427,-0.065,-0.124,154.015,240.876,211,330,137,137,22.667,0.735
119,Coastal Carolina,Sun Belt,5,6,-89.163,-68.516,115.000,0.455,0.261702695,0.193,2.227,173.418,262.581,274,407,158,155,23.690,0.768
120,Virginia Tech,ACC,2,9,-91.806,-159.019,129.000,0.182,0.274516806,-0.093,-0.381,193.233,285.039,257,362,133,127,53.399,1.732
