Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
66,Army,American Athletic,7,5,23.387,20.066,58,0.583,0.561079443,0.022,0.678,250.000,226.613,310,281,124,124,25.627,0.858
67,Jacksonville State,Conference USA,8,5,22.223,-1.937,86,0.615,0.560753079,0.055,0.976,238.788,216.564,394,353,165,163,-2.603,-0.087
68,Washington State,Pac-12,6,6,19.061,38.919,49,0.500,0.562938686,-0.063,-0.104,197.973,178.912,293,263,148,147,60.984,2.042
69,Utah State,Mountain West,5,7,17.470,15.866,61,0.417,0.546659884,-0.130,-0.720,242.169,224.699,402,373,166,166,27.126,0.908
70,Southern Miss,Sun Belt,6,6,13.893,0.641,80,0.500,0.538468143,-0.038,0.120,232.298,218.405,374,356,161,163,1.378,0.046
71,Miami (OH),Mid-American,6,7,11.943,5.949,76,0.462,0.537567018,-0.076,-0.225,204.348,192.405,329,304,161,158,14.878,0.498
72,South Carolina,SEC,3,8,10.482,16.076,60,0.273,0.534100489,-0.261,-1.927,197.101,186.620,272,265,138,142,45.809,1.534
73,Kansas,Big 12,4,7,10.265,17.712,59,0.364,0.525625782,-0.162,-1.014,255.303,245.038,337,321,132,131,51.537,1.725
74,UCF,Big 12,4,7,9.451,9.397,67,0.364,0.528528757,-0.165,-1.041,211.594,202.143,292,283,138,140,29.698,0.994
75,Kennesaw State,Conference USA,9,4,8.802,8.210,69,0.692,0.525344061,0.167,2.007,221.302,212.500,374,357,169,168,27.861,0.933
76,Marshall,Sun Belt,4,7,8.657,5.992,74,0.364,0.52252635,-0.159,-0.986,244.371,235.714,369,363,151,154,20.673,0.692
77,Arizona State,Big 12,7,5,8.006,12.274,63,0.583,0.524812921,0.059,1.011,205.521,197.516,335,318,163,161,45.791,1.533
78,Mississippi State,SEC,4,7,4.303,6.644,72,0.364,0.511268049,-0.148,-0.882,240.789,236.486,366,350,152,148,46.114,1.544
79,Buffalo,Mid-American,4,7,3.797,0.105,82,0.364,0.513155344,-0.150,-0.900,182.278,178.481,288,282,158,158,0.828,0.028
80,Arkansas,SEC,1,10,2.997,5.980,75,0.091,0.50624353,-0.415,-3.341,301.527,298.529,395,406,131,136,59.593,1.995
81,Minnesota,Big Ten,7,5,2.487,3.339,77,0.583,0.506846251,0.076,1.176,228.244,225.758,299,298,131,132,40.111,1.343
82,Liberty,Conference USA,3,8,0.459,0.288,81,0.273,0.501234603,-0.229,-1.625,232.576,232.117,307,318,132,137,18.738,0.627
83,Air Force,Mountain West,3,8,0.101,0.067,83,0.273,0.500205423,-0.227,-1.616,305.983,305.882,358,364,117,119,19.804,0.663
84,Troy,Sun Belt,7,6,-1.238,-0.889,84,0.538,0.496014621,0.042,0.864,193.529,194.767,329,335,170,172,21.443,0.718
85,Florida International,Conference USA,6,6,-4.576,-1.209,85,0.500,0.487334642,0.013,0.590,223.494,228.070,371,390,166,171,7.891,0.264
86,Central Michigan,Mid-American,6,6,-8.904,-3.608,88,0.500,0.472893794,0.027,0.723,200.685,209.589,293,306,146,146,12.101,0.405
87,Baylor,Big 12,4,7,-10.751,-14.040,97,0.364,0.474951257,-0.111,-0.549,262.676,273.427,373,391,142,143,39.007,1.306
88,Temple,American Athletic,4,7,-15.236,-18.763,100,0.364,0.465128854,-0.101,-0.458,265.079,280.315,334,356,126,127,36.784,1.232
89,Arkansas State,Sun Belt,6,6,-16.840,0.764,79,0.500,0.450969975,0.049,0.924,205.660,222.500,327,356,159,160,-1.355,-0.045
90,Florida,SEC,3,8,-17.121,-38.210,107,0.273,0.447902544,-0.175,-1.135,196.212,213.333,259,288,132,135,66.657,2.232
91,Maryland,Big Ten,3,8,-17.735,-19.225,101,0.273,0.44674107,-0.174,-1.125,198.592,216.327,282,318,142,147,32.377,1.084
92,Delaware,Conference USA,6,6,-18.726,-3.476,87,0.500,0.45434702,0.046,0.893,246.405,265.132,377,403,153,152,5.544,0.186
93,California,ACC,6,6,-19.032,-12.370,95,0.500,0.447850445,0.052,0.953,217.881,236.913,329,353,151,149,19.413,0.650
94,Missouri State,Conference USA,6,6,-25.523,-12.808,96,0.500,0.431978965,0.068,1.099,220.530,246.053,333,374,151,152,14.989,0.502
95,Rutgers,Big Ten,4,7,-32.584,-69.952,115,0.364,0.429995919,-0.066,-0.136,273.016,305.600,344,382,126,125,64.121,2.147
96,Louisiana,Sun Belt,5,7,-32.916,-10.632,92,0.417,0.415085223,0.002,0.488,223.841,256.757,338,380,151,148,9.647,0.323
97,Bowling Green,Mid-American,3,8,-34.096,-12.185,93,0.273,0.388185709,-0.115,-0.587,170.833,204.930,246,291,144,142,10.674,0.357
98,Kentucky,SEC,4,7,-37.344,-69.819,114,0.364,0.39257174,-0.029,0.208,195.745,233.088,276,317,141,136,55.843,1.870
99,Wyoming,Mountain West,3,8,-38.571,-30.887,105,0.273,0.349874612,-0.077,-0.235,137.143,175.714,192,246,140,140,23.918,0.801
100,Eastern Michigan,Mid-American,4,7,-41.645,-6.061,90,0.364,0.392855436,-0.029,0.205,218.939,260.584,289,357,132,137,4.347,0.146
101,South Alabama,Sun Belt,3,8,-44.001,-18.267,99,0.273,0.392485531,-0.120,-0.626,230.435,274.436,318,365,138,133,12.400,0.415
102,Akron,Mid-American,4,7,-44.189,2.427,78,0.364,0.36103282,0.003,0.498,172.258,216.447,267,329,155,152,-1.641,-0.055
103,Michigan State,Big Ten,3,8,-45.132,-78.054,119,0.273,0.384012284,-0.111,-0.548,216.912,262.044,295,359,136,137,51.656,1.729
104,North Carolina,ACC,3,8,-45.358,-20.591,103,0.273,0.362520096,-0.090,-0.351,179.070,224.427,231,294,129,131,13.559,0.454
105,App State,Sun Belt,4,8,-46.795,-17.866,98,0.333,0.372249313,-0.039,0.116,201.282,248.077,314,387,156,156,11.403,0.382
106,New Mexico State,Conference USA,3,8,-47.059,-12.350,94,0.273,0.351323705,-0.079,-0.248,169.281,216.340,259,331,153,153,7.838,0.262
107,Tulsa,American Athletic,3,8,-50.195,-19.246,102,0.273,0.356977657,-0.084,-0.300,189.116,239.310,278,347,147,145,11.452,0.383
108,Georgia Southern,Sun Belt,6,6,-54.412,-41.296,108,0.500,0.373743278,0.126,1.634,237.255,291.667,363,420,153,144,22.669,0.759
109,Florida Atlantic,American Athletic,3,8,-59.062,-41.991,109,0.273,0.368586625,-0.096,-0.407,245.833,304.895,354,436,144,143,21.235,0.711
110,Middle Tennessee,Conference USA,3,8,-60.528,9.339,68,0.273,0.33144169,-0.059,-0.066,186.806,247.333,269,371,144,150,-4.608,-0.154
111,Boston College,ACC,1,10,-61.972,-70.389,116,0.091,0.346661949,-0.256,-1.875,214.789,276.761,305,393,142,142,33.925,1.136
112,Northern Illinois,Mid-American,2,9,-66.564,-31.419,106,0.182,0.288416688,-0.107,-0.505,152.985,219.549,205,292,134,133,14.098,0.472
113,UTEP,Conference USA,1,10,-69.420,-8.254,91,0.091,0.301599645,-0.211,-1.462,173.913,243.333,280,365,161,150,3.551,0.119
114,Colorado,Big 12,3,9,-74.194,-96.003,121,0.250,0.290747861,-0.041,0.100,173.103,247.297,251,366,145,148,38.648,1.294
115,West Virginia,Big 12,3,8,-76.640,-138.595,127,0.273,0.278312171,-0.006,0.423,165.190,241.830,261,370,158,153,54.013,1.808
116,Wisconsin,Big Ten,4,8,-79.144,-222.527,132,0.333,0.224366832,0.109,1.475,123.200,202.344,154,259,125,128,83.980,2.812
117,Coastal Carolina,Sun Belt,5,7,-84.919,-70.886,117,0.417,0.26017815,0.156,1.911,163.636,248.555,288,430,176,173,24.932,0.835
118,Stanford,ACC,4,8,-86.232,-150.846,128,0.333,0.257782993,0.076,1.168,163.768,250.000,226,350,138,140,52.248,1.749
119,Nevada,Mountain West,2,9,-86.861,-65.678,113,0.182,0.246366427,-0.065,-0.119,154.015,240.876,211,330,137,137,22.584,0.756
120,Virginia Tech,ACC,2,9,-91.806,-156.846,129,0.182,0.274516806,-0.093,-0.378,193.233,285.039,257,362,133,127,51.028,1.708
121,Colorado State,Mountain West,1,10,-93.646,-100.983,122,0.091,0.247243293,-0.156,-0.962,166.917,260.563,222,370,133,142,32.208,1.078
122,Oregon State,Pac-12,1,10,-104.046,-131.466,124,0.091,0.207033801,-0.116,-0.593,146.309,250.355,218,353,149,141,37.739,1.264
123,Kent State,Mid-American,4,7,-104.735,-94.049,120,0.364,0.238375913,0.125,1.624,177.083,281.818,255,403,144,143,26.821,0.898
124,San Jose State,Mountain West,2,9,-106.581,-53.421,110,0.182,0.234412886,-0.053,-0.009,176.027,282.609,257,390,146,138,14.971,0.501
125,Ball State,Mid-American,3,8,-114.635,-54.001,111,0.273,0.177881526,0.095,1.345,135.714,250.350,190,358,140,143,14.070,0.471
126,Purdue,Big Ten,1,10,-115.822,-318.635,135,0.091,0.220048653,-0.129,-0.712,175.781,291.603,225,382,128,131,82.170,2.751
127,Rice,American Athletic,4,8,-117.264,-132.707,125,0.333,0.218040982,0.115,1.533,175.887,293.151,248,428,141,146,33.802,1.132
128,UAB,American Athletic,3,8,-121.464,-134.026,126,0.273,0.268132592,0.005,0.516,245.736,367.200,317,459,129,125,32.957,1.103
129,Syracuse,ACC,2,9,-123.701,-233.992,133,0.182,0.194216786,-0.012,0.360,161.333,285.034,242,419,150,147,56.499,1.892
130,UL Monroe,Sun Belt,2,9,-138.375,-59.075,112,0.182,0.151125239,0.031,0.756,139.161,277.536,199,383,143,138,12.751,0.427
131,Georgia State,Sun Belt,0,11,-153.782,-191.755,130,0.000,0.166981695,-0.167,-1.060,170.504,324.286,237,454,139,140,37.243,1.247
132,UCLA,Big Ten,3,9,-164.047,-454.380,136,0.250,0.164065615,0.086,1.263,178.689,342.735,218,401,122,117,82.730,2.770
133,Sam Houston,Conference USA,2,10,-167.213,-76.598,118,0.167,0.129071342,0.038,0.819,145.890,313.103,213,454,146,145,13.682,0.458
134,Oklahoma State,Big 12,0,11,-170.974,-280.310,134,0.000,0.097251584,-0.097,-0.419,118.881,289.855,170,400,143,138,48.969,1.639
135,Charlotte,American Athletic,0,11,-187.598,-219.426,131,0.000,0.086247788,-0.086,-0.318,119.444,307.042,172,436,144,142,34.936,1.170
136,Massachusetts,Mid-American,0,11,-239.438,-109.619,123,0.000,0.043869317,-0.044,0.071,98.519,337.956,133,463,135,137,13.674,0.458

