Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac1,Indiana,Big Ten,15,0,273.3529111,532.1097709,1,1,0.960973335,0.039026665,0.837410001,378.4090909,105.0561798,666,187,176,178,57.26084701,1.946603637
47,Auburn,SEC,4,7,58.06763285,78.00002882,32,0.363636364,0.668182941,-0.304546577,-2.325493521,237.7777778,179.7101449,321,248,135,138,39.51307952,1.343261728
48,Duke,ACC,8,5,54.35578914,46.1725012,45,0.615384615,0.618107866,-0.002723251,0.453064128,310.2564103,255.9006211,484,412,156,161,24.98721384,0.849449561
49,UTSA,American Athletic,6,6,52.58152174,57.45527246,37,0.5,0.623873192,-0.123873192,-0.662231034,286.9565217,234.375,462,375,161,160,32.14230185,1.092689419
50,Fresno State,Mountain West,8,4,51.49900067,6.540959642,72,0.666666667,0.667215841,-0.000549175,0.473078475,212.0253165,160.5263158,335,244,158,152,3.736137967,0.12701139
51,Western Kentucky,Conference USA,8,4,50.51868377,8.257876514,69,0.666666667,0.648348527,0.018318139,0.646769224,232.7272727,182.208589,384,297,165,163,4.808355785,0.16346183
52,Boise State,Mountain West,8,5,48.75261233,70.82084228,34,0.615384615,0.638086355,-0.02270174,0.269144005,240.2298851,191.4772727,418,337,174,176,42.7310371,1.452657384
53,Illinois,Big Ten,8,4,48.30659537,105.5679529,23,0.666666667,0.615809643,0.050857023,0.946319184,280.8823529,232.5757576,382,307,136,132,64.28444637,2.18537349
54,Houston,Big 12,9,3,44.30769231,25.86964348,57,0.75,0.623599209,0.126400791,1.641768128,242.3076923,198,378,297,156,150,17.17479452,0.583863481
55,Wake Forest,ACC,8,4,43.87254902,27.66757875,56,0.666666667,0.63909808,0.027568587,0.731927988,214.7058824,170.8333333,365,287,170,168,18.55062407,0.630635315
56,New Mexico,Mountain West,8,4,42.42277408,10.93670606,65,0.666666667,0.604919828,0.061746839,1.046569818,270.7692308,228.3464567,352,290,130,127,7.583465463,0.257802708
57,TCU,Big 12,8,4,41.9411133,36.58490389,52,0.666666667,0.606372692,0.060293975,1.033194885,264.2384106,222.2972973,399,329,151,148,25.65914622,0.87229215
58,Hawai'i,Mountain West,8,4,40.74154758,13.3498858,62,0.666666667,0.610307101,0.056359566,0.996975084,248.0263158,207.2847682,377,313,152,151,9.63874002,0.327672526
59,Cincinnati,Big 12,6,6,38.362878,52.37203994,39,0.5,0.590580901,-0.090580901,-0.355745276,281.4285714,243.0656934,394,333,140,137,40.15767376,1.365174947
60,Northwestern,Big Ten,6,6,37.76571687,34.18140701,54,0.5,0.610107708,-0.110107708,-0.535507257,230.3030303,192.5373134,304,258,132,134,26.62394701,0.905090909
61,Nebraska,Big Ten,6,6,32.460229,37.17905719,51,0.5,0.581701162,-0.081701162,-0.273999223,262.6760563,230.2158273,373,320,142,139,33.69201851,1.145372609
62,Kansas State,Big 12,5,6,31.45320197,47.37483883,43,0.454545455,0.582512479,-0.127967024,-0.699918471,252.1428571,220.6896552,353,320,140,145,44.30605877,1.506200827
63,Tulane,American Athletic,11,3,31.43163868,39.74906838,48,0.785714286,0.587031483,0.198682802,2.307189644,239.5061728,208.0745342,388,335,162,161,37.1997626,1.264619665
64,LSU,SEC,6,6,28.26315789,46.45164752,44,0.5,0.595089185,-0.095089185,-0.397248123,198,169.7368421,297,258,150,152,48.34601413,1.643540601
65,NC State,ACC,7,5,28.22516556,50.7350418,40,0.583333333,0.570763097,0.012570236,0.59385456,262,233.7748344,393,353,150,151,52.8751682,1.797510866
66,Army,American Athletic,7,5,23.38709677,20.37488976,58,0.583333333,0.561079443,0.022253891,0.683001388,250,226.6129032,310,281,124,124,25.627084,0.871202183
67,Jacksonville State,Conference USA,8,5,22.22346161,-1.966396184,85,0.615384615,0.560753079,0.054631536,0.981066999,238.7878788,216.5644172,394,353,165,163,-2.602792538,-0.088482893
68,Washington State,Pac-12,6,6,19.06140835,38.44220169,50,0.5,0.562938686,-0.062938686,-0.101273602,197.972973,178.9115646,293,263,148,147,59.32442059,2.016755582
69,Utah State,Mountain West,5,7,17.46987952,16.1101613,60,0.416666667,0.546659884,-0.129993217,-0.718571419,242.1686747,224.6987952,402,373,166,166,27.1262785,0.922167853
70,Southern Miss,Sun Belt,6,6,13.89322867,0.528474721,79,0.5,0.538468143,-0.038468143,0.123999955,232.2981366,218.404908,374,356,161,163,1.118925759,0.038038294
71,Miami (OH),Mid-American,6,7,11.9427628,6.040562122,74,0.461538462,0.537567018,-0.076028556,-0.221777737,204.3478261,192.4050633,329,304,161,158,14.878282,0.50579269
72,South Carolina,SEC,3,8,10.48173097,15.67800934,61,0.272727273,0.534100489,-0.261373216,-1.928043546,197.1014493,186.6197183,272,265,138,142,43.99852809,1.495746208
73,Kansas,Big 12,4,7,10.26486236,17.98433602,59,0.363636364,0.525625782,-0.161989419,-1.013125492,255.3030303,245.0381679,337,321,132,131,51.53728254,1.752028949
74,UCF,Big 12,4,7,9.451345756,9.541918556,67,0.363636364,0.528528757,-0.164892393,-1.039850007,211.5942029,202.1428571,292,283,138,140,29.69766416,1.009583059
75,Kennesaw State,Conference USA,9,4,8.801775148,8.156719105,70,0.692307692,0.525344061,0.166963631,2.015185885,221.3017751,212.5,374,357,169,168,27.25997633,0.92671296
76,Marshall,Sun Belt,4,7,8.656575213,6.083673965,73,0.363636364,0.52252635,-0.158889986,-0.984592407,244.3708609,235.7142857,369,363,151,154,20.67283613,0.702780697
77,Arizona State,Big 12,7,5,8.005944442,12.39221241,63,0.583333333,0.524812921,0.058520412,1.01686763,205.5214724,197.515528,335,318,163,161,45.5319777,1.547876394
78,Buffalo,Mid-American,4,7,3.797468354,0.106872611,81,0.363636364,0.513155344,-0.14951898,-0.898323789,182.278481,178.4810127,288,282,158,158,0.827851602,0.028143121
79,Arkansas,SEC,1,10,2.997305793,5.858963002,75,0.090909091,0.50624353,-0.415334439,-3.345396343,301.5267176,298.5294118,395,406,131,136,57.50027742,1.954743162
80,Minnesota,Big Ten,7,5,2.486699052,3.074153051,76,0.583333333,0.506846251,0.076487082,1.182267138,228.2442748,225.7575758,299,298,131,132,36.3649081,1.236238478
81,Liberty,Conference USA,3,8,0.458969255,0.292363723,80,0.272727273,0.501234603,-0.22850733,-1.625483236,232.5757576,232.1167883,307,318,132,137,18.73786593,0.637000671
82,Air Force,Mountain West,3,8,0.100553042,0.067696889,82,0.272727273,0.500205423,-0.22747815,-1.616008706,305.982906,305.8823529,358,364,117,119,19.80403721,0.673245557
