Season,Week,Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
2026,4,40,Illinois,Big Ten,1,1,88.235,113.049,34,0.500,0.667,-0.167,-0.536,405.882,317.647,69,54,17,17,16.521,65
2026,4,41,Tulsa,American Athletic,2,0,86.957,24.144,64,1.000,0.648,0.352,1.086,204.348,117.391,47,27,23,23,-61.463,107
2026,4,42,South Florida,American Athletic,2,0,73.684,62.449,48,1.000,0.600,0.400,1.237,247.368,173.684,47,33,19,19,-4.774,79
2026,4,42,Arizona,Big 12,1,1,73.684,11.589,66,0.500,0.534,-0.034,-0.122,310.526,236.842,59,45,19,19,-72.300,110
2026,4,44,Michigan State,Big Ten,2,1,72.414,173.054,17,0.667,0.798,-0.131,-0.425,258.621,186.207,75,54,29,29,98.071,24
2026,4,45,Washington,Big Ten,2,0,62.319,-77.812,100,1.000,0.356,0.644,1.999,166.667,104.348,40,24,24,23,-140.691,125
2026,4,46,Vanderbilt,SEC,2,0,60.769,39.039,57,1.000,0.600,0.400,1.236,280.000,219.231,70,57,25,26,-25.822,91
2026,4,47,Virginia,ACC,1,1,60.000,77.735,43,0.500,0.763,-0.263,-0.836,244.000,184.000,61,46,25,25,11.710,68
2026,4,48,Wake Forest,ACC,2,1,59.677,75.415,45,0.667,0.660,0.006,0.005,309.677,250.000,96,85,31,34,8.159,72
2026,4,49,Houston,Big 12,1,1,59.486,38.384,59,0.500,0.598,-0.098,-0.321,268.182,208.696,59,48,22,23,-19.192,88
2026,4,50,West Virginia,Big 12,2,0,59.402,113.226,33,1.000,0.736,0.264,0.812,255.556,196.154,69,51,27,26,52.512,43
2026,4,51,Fresno State,Pac-12,2,1,58.258,-54.035,89,0.667,0.073,0.593,1.841,202.703,144.444,75,52,37,36,-77.495,114
2026,4,52,Boise State,Pac-12,1,1,57.609,-82.228,102,0.500,0.289,0.211,0.644,282.609,225.000,65,54,23,24,-154.396,128
2026,4,53,Cincinnati,Big 12,2,0,56.294,83.955,42,1.000,0.681,0.319,0.982,265.385,209.091,69,46,26,22,26.379,60
2026,4,54,Baylor,Big 12,1,1,56.000,66.909,47,0.500,0.734,-0.234,-0.745,200.000,144.000,52,36,26,25,11.460,69
2026,4,55,Texas Tech,Big 12,2,0,52.000,32.251,62,1.000,0.591,0.409,1.264,252.000,200.000,63,50,25,25,-16.126,82
